문장,예측 확률,예측 레이블
배당금 받은걸로 조금씩 추매하고..,99.92%,1
https://m.site.naver.com/1AS4j,nan%,advertisement
망햇다,67.58%,0
"민노총에게 구타당하고.
보수집회에는 시비거는 이상한 경찰.
세금을 민노총ㆍ중공에게만 받나?
https://youtube.com/shorts/Yn7ZbMZ9its?si=YbHsM0BYCWwGKUg3",nan%,advertisement
아 묶였네 언제 오르나,83.26%,0
"삼성전자 소식을 가져왔어요.

삼성전자가 미국 기술주 하락 영향에 약세다.

👇 토스증권에서 기사 보기


앞으로 의 주가는?",99.05%,0
"갑자기 반도체 섹터에 나타난 나의 존재에 대해 형들은 ""이 🦜끼는 뭐지??""했을 거란걸 난 어느 정도 짐작은 한다.

주식 년수는 형들 발끝에도 못 미치지만 미래 예상은 누구보다 자신 있다.

그리고 내 전문 분야는 ""중국""이다.

믿지 못하겠지만 내 전화 한통이면 10분 내로 현지 정보 입수가 가능하다.

뉴스 오피셜 보다 빠르다고 자신한다.

쓸데없이 본인 TMI가 길었다, 양해 바란다.

중국에 조금 관심 있는 형들이라면 트형 1기 때, 트형이 천안문 갔을 때 천안문 앞에서 같이 사진 찍다 진핑이형이 트형과 눈 마주치자 주머니에서 얼른 손 뺀 짤을 알고 있을 것이다.

시간이 흘러 이제 취임식 앞두고 트형이 진핑이형 형한테 오라고 콜을 때렸는데 알빠노? 내 밑에애 보낼게 라고 답하였다.

진핑이형 속마음:

내 옛날에 주머니에서 손빼던 진핑이 아니데이~

트형 속마음 :

안되겠다, 황사장 보낼테니 니 다시 한번 말해본나

지금 이런 상황이라고 본다.

트형은 진핑이형이 안 온다니까 어제 전화로 니 내가 오라고 했는데 안왔제? 관세, 대만, 파나마 운하, Ai, 반도체, 양자 생각 잘하고 있어라잉 하고 콜을 때렸다.

진핑이형도 알빠노? 할수가 없으니 응, 생각해 볼게 하였다.

트형은 자존심이 쎈 사람이다.

진핑이형도 체면 중시하는 사람이다.

한번 쪽을 당하고 2번은 당하기 싫고 이제 갈 때가 얼마 안 남았는데 나도 어깨 함 펴고 개겨볼까? 시전중인 것이다.

이렇게만 본다면 트형이 바로 손볼거 같지만 상황이 그리 녹녹치 않다.

바이든 정부 때 강한 미국이 아닌 주변국과 협력을 유지했기에 중국이 마음껏 일대일로 사업으로 영향력을 끌어올려 왔던 것이다.

그래서 중국이 일방적으로 뚜까 맞는 그림은 보이지 않는다.

트형은 영토와 자원을 바탕으로 서서히 중국을 압박할 것이기 때문이다.

그래서 캐나다와 그린란드, 파나마 운하, 맥시코를 자극하여 빌드업을 하고 있는 것이다.


✔️ 눈 깔어, 싫은데???",99.92%,0
https://m.site.naver.com/1ARR1,nan%,advertisement
볼벤 정배열,85.70%,0
왜 주식은 개인이 사면 떨어지고 외인이 사면 올라요????,99.93%,0
"그동안 보안 때문에 외부 툴 절대 안 쓰고, 사내 인력들 밤낮으로 갈아 넣어 버텨왔는데, AI 시대에도 이런 방식이 통할지 의문.

미국 중국 회사들 혁신과제에 AI기반 생산성 툴 적극활용, 시장에서 날아다니는데, 삼성은 여전히 임직원들의 농업적 근면성에 의존. 이대로면 성장세 둔화 불가피.

임원들 성과급을 주식으로?
그게 얼마나 도움이 될까.

한번 속고. 두번 속고. 세번 속았지만,
이제는 안녕.",99.54%,1
ㅠㅠ,78.63%,0
대한민국 선거는 정반대 바꿔야 합니다.,52.38%,0
"1. 트형 취임식 앞두고 비트코인 4% 상승 랠리,

2. 테슬라, 스타쉽 7 발사 실패에도 불구하고 미래 성장 가능성 보여주며 3% 상승 마감.

3. 트형, 취임 첫날 행정명령 100개 발표할듯, 시장에 상당한 영향을 미칠 것으로 예상됨.

- 이민
- 관세
- 에너지
- 성소수자 옹호 철폐
- 영토
- 정부 구조조정
- 세금 감면

4. 일본 은행, 금리 인상인 ""앤캐리 청산"" 공포로 시장은 예의 주시

5. 중국 로봇개, 100m 10초 내 주파, 인민해방군 전략 자산으로 급부상

6. 중국, 초고속 우주통신 모듈 시험비행 성공, 중국의 양자 통신 기술 적용? 중국은 미국에 비해 이 분야에서 60% 이상 점유율을 가져가고 있음

7. 앤비디아 황사장, 트럼프 취임식 불참, 이번주에 중국 순회중이였는데 트형한테 개기는 것인가? 깡다구 보소?",99.75%,1
"앞으로 김이랑 밥이랑만 먹겠군요.. 계란은 사치다
참치캔이라도 .. 먹는날이 다시 왔으면 좋겠다.. 디스플레이 삼전에 넣어주세여",99.88%,1
이딴게 주식?,87.31%,0
"저가에사면 손실볼수가없다
혹시나 고가에사도 적금넣었다생각하고 묻어둬도 괜찮다 너무고가면 주식을 하면안된다 삼성 유보율이 장난없다 주가빠지면 모아둔돈으로 주가방어 들어간다 왜 일희일비하는가 그냥 냅두면 어느날인가 올라있다 없는돈셈치면 적금 예금보단 더번다 삼성이 언제부터 일희일비 단타치는 주식이 된건지 의문이다",92.56%,0
"삼성직원은 삼성주식 안산다고 하더니 이제부터 삼성주식많이 사겠네요~받은 주식 올리려면
계속 물타고물타고 ㅎㅎ
개미들과 같이 해봐요~영차영차
삼성최고~~",99.84%,1
여전하군,65.91%,0
아이고야..,91.55%,0
"삼전 미국 ADR상장해라
그럼 외국인 수급 좀 들어오겠지

싫으면 오너일가 마진콜 당하던가 ㅋ",99.98%,0
"엄마걸고 삼전빼고 모든주식이
빨간색임 꼴보기싫은데 팔아버릴가",100.00%,0
에레이 이노무 손들아,75.30%,0
외국인 엄두나서 삼전 사겠나....5만전자 개미탕인데...3만 보일때 몰빵 추매 들어갑니다.,84.87%,1
삼성 직원1명 채용,96.85%,0
떨어지면 사면됨! 간단하눙,99.85%,0
닭가슴살 사먹게,98.97%,0
"당분간 오르긴 힘들듯 하네요
차트도 그렇고 기술력도 그렇고
크게는 환율도 그렇고
계속 바닥 다진다는 생각으로
떨어지면 줍줍한다 생각하시고
가는게 편할듯
Hbm4올해안에 성공하길 바래야지요",92.16%,0
그래 하루에 200원씩 오르자 영-차,73.49%,1
언제쯤...해뜰까?,76.39%,1
"그래도 삼성인데 하는 마음으로 언젠간 오르겠지 잡고 있습니다. 미장에서 수익나는걸보면 이거팔고 넘어가면 이정도 손해는 금방 복구하겠다 싶으면서도 우리나라 기업이 잘 되어야지 하는 얄팍한 애국심으로 버티고 있네요.
매일매일 던지고 도망가고 싶은 마음입니다.",99.08%,0
4만원대를 향하여 진격하라!!,72.41%,1
지루하게 하지말구 좀 오르자..ㅠ,99.58%,0
ㄹㅇ 떠나자,62.22%,0
"삼송은 HBM4 로 승부 봐야지.

그게 메모리, 파운드리 모두 살길임.

HBM2,3 는 이미 지나간일이고,
HBM4를 tsmc 와 협력한다는 개소리 하지말고, 베이스다이 까지 모두 다 하는걸로 밀어 붙여.",99.23%,0
저가매수,98.50%,1
이밑으로는 절대 빠지지않는다는것을 확인한 날 주가가 바닥에 와있다는것인데 흠 다음주가 관건 상방이든 하방이든 방향성을 정할건데 아무래도 상방이지 찍어누르기만하는 주식이 어디있는가? 그게 가능할리가없지 특히나 삼성같이 거대기업을 외국인자본이 자꾸 찍어누른다? 이제 올릴건데 달라붙은 개미들이 거추장스럽다는 말이다,97.34%,1
"대한삼성이 어쩌다 이리됐노!!!!
으으~~~~~",50.43%,1
월요일은 오르겠군,69.17%,0
"투자한 이유를 자꾸 알려달라는데
손가락이 움직였어요
날라갈지 애지중지할지 ㅎ",98.20%,1
메롱CITY권 진입,66.69%,1
